date,prix100,prix10,prix1
2022-01-06-10:54:29,44700,494,442
2022-01-06-13:32:48,44700,4946,439
2022-01-06-14:12:11,44700,4946,443
2022-01-06-14:16:06,44700,4946,444
2022-01-07-19:53:30,99996,996,990
2022-01-07-20:01:45,99996,996,989
2022-01-07-20:09:54,99996,99,98
2022-01-07-20:18:02,99996,996,994
2022-01-07-20:26:11,99996,999,993
2022-01-07-20:34:28,99996,999,993
2022-01-12-09:46:02,66800,6700,658
2022-01-12-10:11:55,66800,6700,65
2022-01-12-10:45:12,66800,6700,654
2022-01-12-11:18:25,66800,6700,653
2022-01-12-11:51:48,66800,6700,652
2022-01-21-23:40:27,65996,669,668
2022-01-22-01:02:57,65996,6695,650
2022-01-22-14:01:59,65996,6693,640
2022-01-22-14:15:03,65995,6692,642
2022-01-22-14:28:09,65995,6692,641
2022-01-22-14:41:13,65995,6693,641
2022-01-22-14:54:17,65995,6693,640
2022-01-22-15:07:33,65995,6693,640
2022-01-22-15:20:39,65995,6690,640
2022-01-22-15:33:46,65995,6690,640
2022-01-22-15:48:38,65995,6690,640
2022-01-22-16:01:46,65995,6690,640
2022-01-22-16:14:54,63998,6690,643
2022-01-22-16:28:00,63998,6693,650
2022-01-22-16:41:09,63998,6692,649
2022-01-22-16:54:15,63998,6692,649
2022-01-22-17:07:24,63998,6692,665
2022-01-22-17:20:31,63998,6692,668
2022-01-22-17:33:36,63998,6692,677
2022-01-22-17:46:45,63998,6693,677
2022-01-22-17:59:55,63998,6693,677
2022-01-22-18:13:07,63998,6695,676
2022-01-22-18:26:20,63998,6695,676
2022-01-22-18:39:30,63997,6693,674
2022-01-22-18:52:37,63997,6693,675
2022-01-22-19:05:52,63997,6693,675
2022-01-22-19:19:05,63997,6650,650
2022-01-22-19:33:12,63997,6649,650
2022-01-22-19:46:23,63997,6649,647
2022-01-22-19:59:33,63997,6649,646
2022-01-22-23:52:00,63996,6496,66
2022-01-23-22:49:17,63799,6633,628
2022-01-24-19:36:39,63796,6639,611
2022-01-24-21:38:28,63600,6639,501
2022-01-25-18:25:16,63792,6369,599
2022-01-26-15:22:22,63789,6300,610
2022-01-26-15:41:33,63788,6300,600
2022-01-28-09:04:39,63599,6696,619
2022-01-28-10:04:05,63598,6697,617
2022-01-28-11:03:30,63598,6697,600
2022-01-28-12:02:32,63599,6500,608
2022-01-28-13:01:37,63597,6500,610
2022-01-28-14:00:44,63597,6697,626
2022-01-28-14:59:53,63597,6697,625
2022-01-28-15:59:05,63598,6697,624
2022-01-28-16:58:38,63598,6500,618
2022-01-28-17:58:06,63598,6600,617
2022-01-29-10:41:21,63597,6597,609
2022-01-29-11:40:06,63597,6596,609
2022-01-29-12:39:00,63000,6596,600
2022-01-29-13:37:52,63000,6596,599
2022-01-29-21:51:53,63588,6596,629
2022-01-29-22:50:59,63583,6597,629
2022-02-02-20:22:27,63498,6447,614
2022-02-06-14:58:37,63492,6397,608
2022-02-06-22:36:51,63400,6394,623
2022-02-07-20:18:18,63199,5996,595
2022-02-07-20:30:37,63199,5996,500
2022-02-07-20:42:54,63199,5996,497
2022-02-07-20:55:14,63199,5996,497
2022-02-07-21:07:31,63199,5999,496
2022-02-10-08:52:53,63288,6399,616
2022-02-10-20:20:31,63287,6419,595
2022-02-10-20:33:57,63287,6419,595
2022-02-11-20:38:15,63286,6436,647
2022-02-12-12:39:11,63281,6431,634
2022-09-11-23:29:43,51970,5796,637
2022-09-12-08:52:35,51969,5792,627
2022-09-12-20:44:08,51974,5296,518
