date,prix100,prix10,prix1
2022-01-06-10:51:34,369999,2666,1400
2022-01-06-13:30:40,369999,2666,1274
2022-01-06-14:04:38,369999,2666,1274
2022-01-06-14:09:41,369999,2666,1274
2022-01-06-14:14:35,369999,2666,1273
2022-01-07-19:51:55,369998,33496,1488
2022-01-07-20:00:13,369998,33496,148
2022-01-07-20:08:28,369998,33496,148
2022-01-07-20:16:36,369998,3349,148
2022-01-07-20:24:44,369998,3349,288
2022-01-07-20:32:56,369998,3349,288
2022-01-12-09:44:38,0,26000,2625
2022-01-12-10:10:26,0,26000,269
2022-01-12-10:43:41,0,26000,268
2022-01-12-11:16:57,0,26000,265
2022-01-12-11:50:19,0,26000,263
2022-01-21-23:38:52,0,459,4295
2022-01-22-01:01:28,0,47519,4291
2022-01-22-13:34:28,0,47496,4288
2022-01-22-14:00:34,0,47496,4291
2022-01-22-14:13:39,0,47496,4289
2022-01-22-14:26:44,0,47496,4280
2022-01-22-14:39:49,0,47496,4279
2022-01-22-14:52:53,0,47496,4279
2022-01-22-15:06:01,0,47496,4276
2022-01-22-15:19:14,0,47496,4275
2022-01-22-15:32:20,0,47496,4270
2022-01-22-15:47:13,0,47496,4269
2022-01-22-16:00:18,0,47496,4266
2022-01-22-16:13:27,0,47496,4265
2022-01-22-16:26:34,0,47490,4265
2022-01-22-16:39:43,0,47490,4264
2022-01-22-16:52:50,0,47490,4259
2022-01-22-17:05:57,0,47490,4200
2022-01-22-17:19:04,0,47490,4199
2022-01-22-17:32:11,0,47400,4198
2022-01-22-17:45:19,0,47400,4198
2022-01-22-17:58:28,0,47400,4197
2022-01-22-18:11:38,0,47400,4196
2022-01-22-18:24:50,0,47400,4194
2022-01-22-18:38:03,0,47400,4100
2022-01-22-18:51:11,0,47400,4100
2022-01-22-19:04:22,0,47400,4099
2022-01-22-19:17:36,0,47400,4098
2022-01-22-19:31:43,0,47400,4098
2022-01-22-19:44:54,0,47400,4097
2022-01-22-19:58:06,0,47400,4097
2022-01-22-23:46:14,0,47399,8799
2022-01-22-23:50:34,115,0,0
