date,prix100,prix10,prix1
2022-01-06-10:52:30,2949,24000,209
2022-01-06-13:31:36,29496,23996,198
2022-01-06-14:11:10,29496,23996,1982
2022-01-06-14:15:15,29496,23996,1983
2022-01-07-19:52:36,332944,33995,289
2022-01-07-20:00:52,332944,33995,2890
2022-01-07-20:09:05,332944,33995,2890
2022-01-07-20:17:14,332944,33995,2890
2022-01-07-20:25:23,332944,33994,2893
2022-01-07-20:33:37,332944,33994,2892
2022-01-12-09:45:15,299999,2999,279
2022-01-12-10:11:05,299999,29996,2796
2022-01-12-10:44:21,299999,26900,2796
2022-01-12-11:17:35,299999,26900,2700
2022-01-12-11:50:58,299999,26799,2598
2022-01-21-23:39:33,34999,35499,2175
2022-01-22-01:02:08,374998,35496,2200
2022-01-22-14:01:10,339421,33000,2891
2022-01-22-14:14:16,339421,33000,2891
2022-01-22-14:27:21,339421,33000,2889
2022-01-22-14:40:26,339421,33000,2889
2022-01-22-14:53:30,320000,33000,2889
2022-01-22-15:06:41,320000,33000,2890
2022-01-22-15:19:51,319999,32999,2890
2022-01-22-15:32:58,318000,32997,2880
2022-01-22-15:47:50,318000,32910,2879
2022-01-22-16:00:56,318000,32910,2879
2022-01-22-16:14:04,318000,32996,2879
2022-01-22-16:27:11,318000,32996,2879
2022-01-22-16:40:20,318000,32995,2800
2022-01-22-16:53:27,317999,32990,2800
2022-01-22-17:06:35,317999,32976,2799
2022-01-22-17:19:42,316989,32909,2900
2022-01-22-17:32:48,316989,32906,2897
2022-01-22-17:45:56,316989,32907,2895
2022-01-22-17:59:06,316988,32906,2893
2022-01-22-18:12:17,316987,32906,2892
2022-01-22-18:25:28,316987,32906,2799
2022-01-22-18:38:42,316987,32906,2998
2022-01-22-18:51:49,316987,32905,2998
2022-01-22-19:05:01,316987,32902,2996
2022-01-22-19:18:13,316987,32900,2995
2022-01-22-19:32:21,316986,32997,2995
2022-01-22-19:45:33,316986,32996,2994
2022-01-22-19:58:43,310000,32996,2993
2022-01-22-23:51:11,29676,32996,1997
2022-01-23-22:48:34,329196,29995,2841
2022-01-24-19:35:56,199999,19699,1909
2022-01-24-21:37:44,0,29990,2594
2022-01-25-18:24:33,248785,23996,1999
2022-01-26-15:21:30,257988,19996,1800
2022-01-26-15:40:37,257988,19995,1799
2022-01-28-09:03:42,299991,25995,2100
2022-01-28-10:03:08,299991,25995,2100
2022-01-28-11:02:34,299990,25496,2100
2022-01-28-12:01:36,299990,25497,2297
2022-01-28-13:00:41,299988,25497,2295
2022-01-28-13:59:48,299985,25496,2296
2022-01-28-14:58:57,299985,22900,2290
2022-01-28-15:58:08,299985,22996,2283
2022-01-28-16:57:39,299984,22999,2284
2022-01-28-17:57:07,299984,22996,2099
2022-01-29-10:40:29,299180,27999,2106
2022-01-29-11:39:12,299000,27996,2594
2022-01-29-12:38:04,299000,27499,2587
2022-01-29-13:36:58,289999,27997,2582
2022-01-29-21:51:01,289899,27999,2500
2022-01-29-22:50:04,289899,27996,2517
2022-02-02-20:21:44,249996,16999,1775
2022-02-06-14:57:54,237000,22996,2149
2022-02-06-22:36:06,256777,22240,2149
2022-02-07-20:17:36,199988,19975,1943
2022-02-07-20:29:55,199988,19970,1942
2022-02-07-20:42:11,199999,19970,1942
2022-02-07-20:54:31,199999,19969,1941
2022-02-07-21:06:49,199999,19969,1941
2022-02-10-08:52:09,197984,17700,1700
2022-02-10-20:19:45,196982,16465,1829
2022-02-10-20:33:11,196982,16465,1829
2022-02-11-20:37:32,149999,16427,1673
2022-02-12-12:38:28,174998,16370,1600
2022-09-11-22:50:49,118287,11475,1067
2022-09-11-23:31:19,118287,11471,1065
