date,prix100,prix10,prix1
2022-01-06-10:52:15,49842,2923,990
2022-01-06-13:31:21,49844,99,129
2022-01-06-14:10:59,49844,99,129
2022-01-06-14:15:03,49844,99,129
2022-01-07-19:52:25,25000,3994,1050
2022-01-07-20:00:41,25000,3994,1049
2022-01-07-20:08:55,24999,3994,1049
2022-01-07-20:17:03,24998,3994,1048
2022-01-07-20:25:12,24998,3994,1048
2022-01-07-20:33:26,24998,3994,1048
2022-01-12-09:45:05,39294,3996,1159
2022-01-12-10:10:54,39294,3996,116
2022-01-12-10:44:10,39294,3996,116
2022-01-12-11:17:24,39292,399,1159
2022-01-12-11:50:47,39293,3996,1159
2022-01-21-23:39:22,5859,499,1195
2022-01-22-01:01:57,158596,14994,1193
2022-01-22-14:01:00,158592,14795,1189
2022-01-22-14:14:05,158592,14795,1188
2022-01-22-14:27:10,158591,13900,1186
2022-01-22-14:40:16,158591,13900,1186
2022-01-22-14:53:19,158591,13900,1186
2022-01-22-15:06:29,158591,13900,1185
2022-01-22-15:19:40,158591,13799,1183
2022-01-22-15:32:47,158591,13796,1183
2022-01-22-15:47:39,158591,13796,1183
2022-01-22-16:00:45,158591,13796,1183
2022-01-22-16:13:53,158591,13796,1183
2022-01-22-16:27:00,158591,13796,1183
2022-01-22-16:40:09,158591,13500,1182
2022-01-22-16:53:17,158591,13796,1299
2022-01-22-17:06:24,158591,13796,1298
2022-01-22-17:19:31,158590,13797,1298
2022-01-22-17:32:37,158590,13797,1289
2022-01-22-17:45:46,158590,13797,1289
2022-01-22-17:58:55,158590,13797,1289
2022-01-22-18:12:07,158590,13797,1289
2022-01-22-18:25:17,158590,13797,1289
2022-01-22-18:38:31,158590,13797,1288
2022-01-22-18:51:38,158590,13797,1288
2022-01-22-19:04:50,158590,13797,1288
2022-01-22-19:18:03,158590,13799,1287
2022-01-22-19:32:10,158589,13799,1285
2022-01-22-19:45:22,158589,13799,1284
2022-01-22-19:58:32,158589,13799,1200
2022-01-22-23:51:01,156595,13396,1346
2022-01-23-22:48:25,158510,14794,1114
2022-01-24-19:35:46,158524,15992,1495
2022-01-24-21:37:35,158522,15000,1400
2022-01-25-18:24:24,158500,14991,1493
2022-01-26-15:21:19,158488,14141,1414
2022-01-26-15:40:26,158488,14140,1414
2022-01-28-09:03:30,121993,11999,1060
2022-01-28-10:02:55,105000,11996,1059
2022-01-28-11:02:23,105000,11900,999
2022-01-28-12:01:24,104997,11799,1000
2022-01-28-13:00:29,104995,11795,995
2022-01-28-13:59:36,104995,9999,1000
2022-01-28-14:58:45,104972,9999,1060
2022-01-28-15:57:56,104955,9995,1056
2022-01-28-16:57:27,104940,9799,980
2022-01-28-17:56:56,104924,9797,977
2022-01-29-10:40:19,103987,11746,1008
2022-01-29-11:39:01,103987,11746,999
2022-01-29-12:37:53,102999,11596,1017
2022-01-29-13:36:47,102997,11595,1016
2022-01-29-21:50:50,99910,11497,1049
2022-01-29-22:49:53,99928,11496,1061
2022-02-02-20:21:34,97989,10774,968
2022-02-06-14:57:45,83497,8343,827
2022-02-06-22:35:57,83488,8313,748
2022-02-07-20:17:26,83218,8230,744
2022-02-07-20:29:46,83218,8230,744
2022-02-07-20:42:02,83218,8230,800
2022-02-07-20:54:22,83217,8230,800
2022-02-07-21:06:39,83217,8230,799
2022-02-10-08:51:59,81998,6710,675
2022-02-10-20:19:35,82498,8196,753
2022-02-10-20:33:00,82497,8196,753
2022-02-11-20:37:22,82196,6294,616
2022-02-12-12:38:18,82189,6293,639
2022-09-11-23:31:42,27580,3993,179
