date,prix100,prix10,prix1
2022-01-06-10:49:48,5759,609,0
2022-01-06-10:50:09,5759,609,0
2022-01-06-13:28:43,5744,626,9
2022-01-06-13:29:08,5744,626,9
2022-01-06-13:36:57,5745,639,9
2022-01-06-13:39:35,5744,639,9
2022-01-06-13:44:10,5743,640,9
2022-01-06-14:03:08,5719,635,95
2022-01-06-14:03:27,5719,635,95
2022-01-06-14:05:33,5719,635,95
2022-01-06-14:05:50,5719,635,95
2022-01-06-14:13:10,4998,635,95
2022-01-06-14:13:26,4998,635,95
2022-01-07-19:50:15,5768,664,198
2022-01-07-19:50:36,5768,664,198
2022-01-07-19:58:51,5764,664,198
2022-01-07-19:59:08,5764,664,198
2022-01-07-20:07:09,5762,664,198
2022-01-07-20:07:24,576,664,198
2022-01-07-20:15:15,575,664,19
2022-01-07-20:15:31,575,664,19
2022-01-07-20:23:24,5746,664,19
2022-01-07-20:23:40,5746,664,19
2022-01-07-20:31:33,5744,664,19
2022-01-07-20:31:49,5745,664,19
2022-01-12-09:43:16,5679,66,66
2022-01-12-09:43:32,5679,66,66
2022-01-12-10:09:00,5678,666,68
2022-01-12-10:09:18,5678,665,68
2022-01-12-10:42:17,546,540,54
2022-01-12-10:42:34,546,540,54
2022-01-12-11:15:35,4898,539,66
2022-01-12-11:15:52,4859,539,66
2022-01-12-11:48:50,4898,49,65
2022-01-12-11:49:07,546,49,65
2022-01-21-23:37:23,4968,795,5
2022-01-21-23:37:40,497,795,5
2022-01-22-01:00:07,8999,762,99
2022-01-22-01:00:23,8999,761,99
2022-01-22-13:33:03,8192,569,114
2022-01-22-13:33:20,8194,569,114
2022-01-22-13:59:15,4697,590,115
2022-01-22-13:59:30,4697,590,115
2022-01-22-14:12:20,4700,590,116
2022-01-22-14:12:36,4700,590,116
2022-01-22-14:25:24,8278,569,116
2022-01-22-14:25:40,8278,569,116
2022-01-22-14:38:30,8277,566,115
2022-01-22-14:38:46,8277,566,115
2022-01-22-14:51:35,8275,567,117
2022-01-22-14:51:50,8275,567,117
2022-01-22-15:04:38,4550,560,118
2022-01-22-15:04:54,4550,575,118
2022-01-22-15:17:55,8274,575,118
2022-01-22-15:18:11,8274,575,118
2022-01-22-15:31:00,8275,574,117
2022-01-22-15:31:16,8275,574,117
2022-01-22-15:45:54,8274,396,39
2022-01-22-15:46:09,8274,396,39
2022-01-22-15:58:59,8275,397,117
2022-01-22-15:59:15,8270,397,117
2022-01-22-16:12:07,8271,397,117
2022-01-22-16:12:23,8271,397,117
2022-01-22-16:25:15,8269,397,117
2022-01-22-16:25:31,8269,397,117
2022-01-22-16:38:22,4690,396,116
2022-01-22-16:38:38,4690,396,116
2022-01-22-16:51:30,8266,396,117
2022-01-22-16:51:46,8266,396,117
2022-01-22-17:04:36,8265,396,117
2022-01-22-17:04:52,8265,396,117
2022-01-22-17:17:45,8264,397,99
2022-01-22-17:18:01,8264,397,99
2022-01-22-17:30:52,8200,396,117
2022-01-22-17:31:08,8200,396,117
2022-01-22-17:43:58,8189,396,117
2022-01-22-17:44:15,8189,396,117
2022-01-22-17:57:07,8187,395,117
2022-01-22-17:57:24,8188,395,117
2022-01-22-18:10:17,8183,395,117
2022-01-22-18:10:33,8183,395,117
2022-01-22-18:23:29,8196,397,117
2022-01-22-18:23:45,8196,397,117
2022-01-22-18:36:41,8194,397,117
2022-01-22-18:36:58,8195,397,117
2022-01-22-18:49:52,4687,395,116
2022-01-22-18:50:08,4687,395,116
2022-01-22-19:03:00,8194,573,99
2022-01-22-19:03:16,8193,573,99
2022-01-22-19:16:13,8180,555,99
2022-01-22-19:16:30,8180,555,99
2022-01-22-19:29:27,2999,572,99
2022-01-22-19:30:37,2999,572,99
2022-01-22-19:43:33,2997,573,99
2022-01-22-19:43:49,2997,573,99
2022-01-22-19:56:44,2995,573,99
2022-01-22-19:57:00,2995,573,99
2022-01-22-23:40:50,5796,509,47
2022-01-22-23:41:01,0,772116,2995
2022-01-22-23:42:54,114,772116,2995
2022-01-22-23:45:02,0,772116,2995
2022-01-22-23:45:18,0,772116,2995
2022-01-22-23:49:12,0,772116,2995
2022-01-22-23:49:30,0,772116,2995
2022-01-23-18:49:29,0,772156,2886
2022-01-23-18:49:46,0,772156,2886
2022-01-23-18:51:15,0,772156,2886
2022-01-23-18:52:49,0,772156,2886
2022-01-23-21:12:17,4659,599,96
2022-01-23-21:12:32,4659,599,96
2022-01-23-21:15:53,4654,599,99
2022-01-23-21:16:08,4654,599,99
2022-01-23-21:18:25,4653,599,99
2022-01-23-21:18:41,4653,599,99
2022-01-23-21:20:30,4652,599,99
2022-01-23-21:20:46,4652,599,99
2022-01-23-21:22:45,4651,600,99
2022-01-23-21:23:00,4651,600,99
2022-01-23-22:30:15,4595,596,96
2022-01-23-22:30:30,4594,596,96
2022-01-23-22:42:54,4595,594,96
2022-01-23-22:43:09,4595,594,96
2022-01-23-22:45:27,4596,593,96
2022-01-23-22:45:42,4596,593,96
2022-01-23-22:46:44,4596,593,96
2022-01-23-22:47:00,4596,593,96
2022-01-24-19:34:06,3970,522,63
2022-01-24-19:34:21,3970,522,63
2022-01-24-21:35:52,4196,519,94
2022-01-24-21:36:08,4196,519,94
2022-01-25-18:22:49,8872,435,90
2022-01-25-18:23:03,8872,435,90
2022-01-26-15:19:23,8413,491,92
2022-01-26-15:19:40,8413,491,92
2022-01-26-15:38:18,2985,466,91
2022-01-26-15:38:38,2985,466,91
2022-01-28-09:01:30,2886,414,101
2022-01-28-09:01:47,2886,414,101
2022-01-28-10:00:47,8100,414,115
2022-01-28-10:01:07,8100,414,115
2022-01-28-11:00:17,2790,412,115
2022-01-28-11:00:35,2790,412,115
2022-01-28-11:59:24,2793,399,114
2022-01-28-11:59:42,2793,399,114
2022-01-28-12:58:28,8997,396,100
2022-01-28-12:58:46,8997,396,100
2022-01-28-13:57:34,2446,415,100
2022-01-28-13:57:51,2446,415,100
2022-01-28-14:56:45,2445,419,59
2022-01-28-14:57:03,2445,419,59
2022-01-28-15:55:55,4499,419,59
2022-01-28-15:56:12,4500,419,59
2022-01-28-16:55:18,4259,354,40
2022-01-28-16:55:37,2289,423,59
2022-01-28-17:54:47,8500,423,99
2022-01-28-17:55:05,4500,423,99
2022-01-29-10:38:24,8882,436,99
2022-01-29-10:38:41,8882,436,99
2022-01-29-11:37:03,8886,436,98
2022-01-29-11:37:20,8886,436,98
2022-01-29-12:35:55,8698,430,93
2022-01-29-12:36:12,8698,430,93
2022-01-29-13:34:50,8651,424,98
2022-01-29-13:35:07,8651,424,98
2022-01-29-21:48:41,4057,417,499
2022-01-29-21:49:00,4059,417,499
2022-01-29-22:47:57,4020,419,99
2022-01-29-22:48:14,4020,421,99
2022-02-01-19:28:27,4550,46,75
2022-02-01-19:30:07,4550,450,75
2022-02-01-19:36:57,4555,450,45
2022-02-01-19:44:03,4557,450,45
2022-02-01-19:46:29,4557,450,45
2022-02-01-19:52:06,4553,46,44
2022-02-01-19:58:50,4545,450,45
2022-02-01-20:02:51,4545,49,44
2022-02-01-20:04:59,4544,49,44
2022-02-01-20:35:38,4499,46,44
2022-02-02-20:07:22,4488,452,121
2022-02-02-20:12:05,4488,451,121
2022-02-02-20:27:01,4484,451,58
2022-02-06-14:50:47,8213,416,150
2022-02-06-15:03:10,0,0,0
2022-02-06-15:22:45,8000,417,150
2022-02-06-22:28:53,2067,344,39
2022-02-07-20:10:32,8629,399,98
2022-02-07-20:22:52,8621,399,98
2022-02-07-20:35:07,8617,397,97
2022-02-07-20:47:26,8589,397,97
2022-02-07-20:59:46,8587,396,148
2022-02-07-21:12:07,8799,397,147
2022-02-10-00:04:31,8098,365,190
2022-02-10-08:41:54,1886,353,188
2022-02-10-08:44:44,1884,350,188
2022-02-10-09:08:35,1882,4,188
2022-02-10-20:11:50,8887,354,100
2022-02-10-20:25:24,8887,453,100
2022-02-10-20:38:51,8800,457,100
2022-02-11-20:30:12,2783,569,187
2022-02-12-12:31:14,2294,540,95
2022-09-06-01:36:11,4993,793,33
2022-09-11-16:34:14,8125,996,198
2022-09-11-17:23:00,5700,996,199
2022-09-11-22:47:29,1800,334,49
2022-09-11-23:11:36,1894,336,50
2022-09-11-23:37:14,1892,334,50
2022-09-12-20:44:55,2275,320,115
