date,prix100,prix10,prix1
2022-01-06-10:50:37,4980,69,999
2022-01-06-13:29:37,4980,700,99
2022-01-06-14:03:48,4980,700,986
2022-01-06-14:06:13,4980,700,986
2022-01-06-14:13:49,4980,700,980
2022-01-07-19:51:02,3998,9999,1482
2022-01-07-19:59:29,3998,9990,1484
2022-01-07-20:07:45,39982,9999,1483
2022-01-07-20:15:53,39982,9999,1483
2022-01-07-20:24:00,3998,9999,1412
2022-01-07-20:32:10,3998,9999,141
2022-01-12-09:43:53,4988,346,1646
2022-01-12-10:09:41,4988,6700,1678
2022-01-12-10:42:57,498,6699,1676
2022-01-12-11:16:13,498,350,1666
2022-01-12-11:49:33,4986,400,1600
2022-01-21-23:38:02,48869,4996,1160
2022-01-22-01:00:45,148869,14997,1143
2022-01-22-13:33:42,148851,13995,1141
2022-01-22-13:59:51,148851,13996,1140
2022-01-22-14:12:57,148849,13996,1100
2022-01-22-14:26:02,148849,13997,1290
2022-01-22-14:39:07,148849,14999,1289
2022-01-22-14:52:11,148849,14999,1250
2022-01-22-15:05:16,148849,14999,1248
2022-01-22-15:18:32,148849,14946,1247
2022-01-22-15:31:37,148848,14947,1245
2022-01-22-15:46:30,148848,14946,1242
2022-01-22-15:59:36,148848,14946,1240
2022-01-22-16:12:45,148848,14946,1241
2022-01-22-16:25:51,72890,6929,688
2022-01-22-16:38:59,148844,14945,1198
2022-01-22-16:52:07,148844,14946,1247
2022-01-22-17:05:14,148844,14946,1245
2022-01-22-17:18:22,148844,14946,1244
2022-01-22-17:31:29,148844,14946,1243
2022-01-22-17:44:36,148842,14946,1242
2022-01-22-17:57:45,148842,14946,1243
2022-01-22-18:10:55,148842,14946,1242
2022-01-22-18:24:06,148842,14946,1240
2022-01-22-18:37:20,148842,14946,1217
2022-01-22-18:50:29,148842,14946,1217
2022-01-22-19:03:38,148840,14946,1212
2022-01-22-19:16:51,148840,14946,1150
2022-01-22-19:30:58,148819,14946,1222
2022-01-22-19:44:10,148819,14946,1221
2022-01-22-19:57:22,148819,14999,1299
2022-01-22-23:45:38,72969,7274,676
2022-01-22-23:49:51,146934,13400,1341
2022-01-23-22:47:21,148761,14969,1150
2022-01-24-19:34:42,148743,14599,1418
2022-01-24-21:36:29,148719,14596,1198
2022-01-25-18:23:23,129997,14522,1186
2022-01-26-15:20:04,139974,14496,1150
2022-01-26-15:39:04,139974,14497,1150
2022-01-28-09:02:15,128800,1174,1175
2022-01-28-10:01:38,128800,1174,1174
2022-01-28-11:01:02,128799,1174,1167
2022-01-28-12:00:09,128799,11733,1168
2022-01-28-12:59:14,128699,11733,1164
2022-01-28-13:58:19,128698,11732,1160
2022-01-28-14:57:30,128696,11731,1158
2022-01-28-15:56:40,128699,13391,1168
2022-01-28-16:56:06,128698,13390,750
2022-01-28-17:55:33,128697,13300,740
2022-01-29-10:39:06,128675,13399,1153
2022-01-29-11:37:47,128680,13399,1149
2022-01-29-12:36:39,128680,13390,1146
2022-01-29-13:35:33,128678,13390,1145
2022-01-29-21:49:30,118974,13290,1216
2022-01-29-22:48:40,118972,13290,1218
2022-02-02-20:20:47,117997,12971,1089
2022-02-06-14:56:57,144512,14522,1142
2022-02-06-22:35:09,148757,14969,1189
2022-02-07-20:16:39,138493,12000,1291
2022-02-07-20:28:59,138493,11999,1290
2022-02-07-20:41:15,138493,11999,1288
2022-02-07-20:53:35,138493,11999,1200
2022-02-07-21:05:52,138493,11999,1197
2022-02-10-08:51:09,135898,14479,1100
2022-02-10-20:18:39,135886,14466,1250
2022-02-10-20:32:07,135886,14469,1248
2022-02-10-20:45:38,135886,14469,1246
2022-02-11-20:36:34,134197,14465,1298
2022-02-12-12:37:29,134440,14445,1150
2022-09-12-00:05:07,94980,9477,787
