date,prix100,prix10,prix1
2022-01-06-10:54:06,36889,34965,8416
2022-01-06-13:32:24,349998,34962,8450
2022-01-06-14:11:49,34999,34963,845
2022-01-06-14:15:49,34999,34963,845
2022-01-07-19:53:11,409999,4995,4244
2022-01-07-20:01:28,409999,4995,4244
2022-01-07-20:09:38,409999,4996,4246
2022-01-07-20:17:47,409998,4992,4245
2022-01-07-20:25:54,99999,9546,78
2022-01-07-20:34:11,409998,4992,4245
2022-01-12-09:45:46,348975,3699,8869
2022-01-12-10:11:38,348975,3699,8868
2022-01-12-10:44:56,348975,36990,8868
2022-01-12-11:18:08,348975,36990,8870
2022-01-12-11:51:31,348975,36990,886
2022-01-21-23:40:09,229998,26962,8014
2022-01-22-01:02:41,229998,26967,2999
2022-01-22-14:01:43,209998,26953,2900
2022-01-22-14:14:47,209998,26952,2986
2022-01-22-14:27:53,209998,26951,2984
2022-01-22-14:40:57,209998,26951,2981
2022-01-22-14:54:01,209999,26949,2981
2022-01-22-15:07:16,209999,26946,2979
2022-01-22-15:20:23,209999,26947,2979
2022-01-22-15:33:31,209999,26945,2978
2022-01-22-15:48:22,209999,26943,2978
2022-01-22-16:01:28,209999,2694,2977
2022-01-22-16:14:37,209999,26943,2976
2022-01-22-16:27:44,209999,2694,2975
2022-01-22-16:40:53,229998,26942,2975
2022-01-22-16:53:59,229998,26942,2975
2022-01-22-17:07:08,229998,26941,2974
2022-01-22-17:20:15,229998,26900,2900
2022-01-22-17:33:21,229998,26999,2969
2022-01-22-17:46:30,229998,26999,2900
2022-01-22-17:59:39,229998,26999,2899
2022-01-22-18:12:51,229998,26996,2898
2022-01-22-18:26:03,229998,26996,2898
2022-01-22-18:39:14,229998,26996,2800
2022-01-22-18:52:22,229998,26999,2798
2022-01-22-19:05:35,229998,26999,2798
2022-01-22-19:18:47,229998,26996,2799
2022-01-22-19:32:55,229998,26900,2799
2022-01-22-19:46:06,229998,26799,2700
2022-01-22-19:59:17,229998,26799,2700
2022-01-22-23:51:43,230000,26791,2799
2022-01-23-22:49:03,229999,25993,2854
2022-01-24-19:36:25,249992,24994,2799
2022-01-24-21:38:14,249992,24994,2840
2022-01-25-18:25:02,249989,24799,2483
2022-01-26-15:22:06,248996,24400,2485
2022-01-26-15:41:15,248996,24396,2485
2022-01-28-09:04:20,218898,23597,2199
2022-01-28-10:03:47,218898,23600,2199
2022-01-28-11:03:13,199999,23000,2198
2022-01-28-12:02:14,199999,23596,2198
2022-01-28-13:01:20,199998,23496,2189
2022-01-28-14:00:27,199997,23492,2190
2022-01-28-14:59:36,199999,23491,2188
2022-01-28-15:58:47,199999,23491,2188
2022-01-28-16:58:20,199998,23496,2187
2022-01-28-17:57:48,199999,23495,2179
2022-01-29-10:41:05,199999,23276,2418
2022-01-29-11:39:50,199999,23279,2420
2022-01-29-12:38:42,199998,23290,2419
2022-01-29-13:37:36,199997,23276,2420
2022-01-29-21:51:37,199998,22997,2299
2022-01-29-22:50:42,199998,22994,2292
2022-02-02-20:22:13,194992,16999,2187
2022-02-06-14:58:23,199996,19977,2124
2022-02-06-22:36:36,199000,19973,2119
2022-02-07-20:18:04,189898,19966,2095
2022-02-07-20:30:23,189898,19966,2095
2022-02-07-20:42:40,189898,19966,2095
2022-02-07-20:55:01,189898,19966,2095
2022-02-07-21:07:17,189898,19966,2095
2022-02-10-08:52:38,198914,19756,1913
2022-02-10-20:20:16,198921,19760,1924
2022-02-10-20:33:42,198921,19760,1924
2022-02-11-20:38:01,198917,19970,2115
2022-02-12-12:38:57,198910,19962,2112
2022-09-11-22:50:42,249000,24994,4416
2022-09-11-23:26:30,249000,24991,4415
2022-09-12-20:43:54,99999,8999,1983
